,rmse,mae,r2,horizon
ridge,16.447333133545143,12.441281721577122,0.8138128509670755,24h
random_forest,14.649105929666085,11.007398023584226,0.85229984097452,24h
xgboost,13.380860606747598,10.010875255676844,0.8767670579126707,24h
ridge,19.061952911749106,14.659340913280746,0.749958313340861,48h
random_forest,17.267555839329024,13.331113481533011,0.7948179459398448,48h
xgboost,16.154916720746744,12.415412433466173,0.8204079606403393,48h
ridge,19.715972881112933,15.29104070045427,0.7324891804683376,72h
random_forest,17.70415566235454,13.69051293557395,0.7842974066985928,72h
xgboost,16.77392063687226,13.005537417804593,0.8063693535488822,72h
