city,forecast_origin,current_aqi,aqi_24h,aqi_48h,aqi_72h,forecast_24h_time,forecast_48h_time,forecast_72h_time
Islamabad,2026-09-20 00:00:00+00:00,92.52359008789062,87.97962951660156,91.2558364868164,86.96900177001953,2026-09-21 00:00:00+00:00,2026-09-22 00:00:00+00:00,2026-09-23 00:00:00+00:00
Karachi,2026-09-20 00:00:00+00:00,76.65880584716797,66.35814666748047,66.6084213256836,65.10995483398438,2026-09-21 00:00:00+00:00,2026-09-22 00:00:00+00:00,2026-09-23 00:00:00+00:00
Lahore,2026-09-20 00:00:00+00:00,156.4583282470703,145.18280029296875,150.75027465820312,157.32022094726562,2026-09-21 00:00:00+00:00,2026-09-22 00:00:00+00:00,2026-09-23 00:00:00+00:00
Peshawar,2026-09-20 00:00:00+00:00,110.36457824707031,102.08761596679688,102.74552154541016,107.95208740234375,2026-09-21 00:00:00+00:00,2026-09-22 00:00:00+00:00,2026-09-23 00:00:00+00:00
